Issue Type,Summary,Description,Priority,Labels,Test Steps,Test Data,Expected Result,Status
Test,VWO - Funnel Analysis: Verify user can filter dashboard widget - ID_0017,This test case validates the filter functionality for the dashboard widget component within the Funnel Analysis module of app.vwo.com.,Low,"vwo,automated,funnel_analysis","1. Log in to app.vwo.com
2. Navigate to Funnel Analysis
3. Perform Filter action on Dashboard Widget
4. Verify success message","user_role: admin, component_id: 6390",The dashboard widget should be successfully filtered and reflected in the Funnel Analysis dashboard.,To Do
Test,VWO - Funnel Analysis: Verify user can filter snapshot - ID_0018,This test case validates the filter functionality for the snapshot component within the Funnel Analysis module of app.vwo.com.,High,"vwo,automated,funnel_analysis","1. Log in to app.vwo.com
2. Navigate to Funnel Analysis
3. Perform Filter action on Snapshot
4. Verify success message","user_role: admin, component_id: 8412",The snapshot should be successfully filtered and reflected in the Funnel Analysis dashboard.,To Do
Test,VWO - Login: Verify user can delete goal - ID_0019,This test case validates the delete functionality for the goal component within the Login module of app.vwo.com.,Critical,"vwo,automated,login","1. Log in to app.vwo.com
2. Navigate to Login
3. Perform Delete action on Goal
4. Verify success message","user_role: admin, component_id: 2249",The goal should be successfully deleteed and reflected in the Login dashboard.,To Do
Test,VWO - Integrations: Verify user can create campaign - ID_0020,This test case validates the create functionality for the campaign component within the Integrations module of app.vwo.com.,Critical,"vwo,automated,integrations","1. Log in to app.vwo.com
2. Navigate to Integrations
3. Perform Create action on Campaign
4. Verify success message","user_role: admin, component_id: 9037",The campaign should be successfully createed and reflected in the Integrations dashboard.,To Do
Test,VWO - Account Settings: Verify user can export campaign - ID_0021,This test case validates the export functionality for the campaign component within the Account Settings module of app.vwo.com.,Critical,"vwo,automated,account_settings","1. Log in to app.vwo.com
2. Navigate to Account Settings
3. Perform Export action on Campaign
4. Verify success message","user_role: admin, component_id: 4107",The campaign should be successfully exported and reflected in the Account Settings dashboard.,To Do
Test,VWO - A/B Testing: Verify user can search segment - ID_0022,This test case validates the search functionality for the segment component within the A/B Testing module of app.vwo.com.,Low,"vwo,automated,a/b_testing","1. Log in to app.vwo.com
2. Navigate to A/B Testing
3. Perform Search action on Segment
4. Verify success message","user_role: admin, component_id: 1004",The segment should be successfully searched and reflected in the A/B Testing dashboard.,To Do
Test,VWO - Surveys: Verify user can search campaign - ID_0023,This test case validates the search functionality for the campaign component within the Surveys module of app.vwo.com.,Critical,"vwo,automated,surveys","1. Log in to app.vwo.com
2. Navigate to Surveys
3. Perform Search action on Campaign
4. Verify success message","user_role: admin, component_id: 9455",The campaign should be successfully searched and reflected in the Surveys dashboard.,To Do
Test,VWO - Integrations: Verify user can create api key - ID_0024,This test case validates the create functionality for the api key component within the Integrations module of app.vwo.com.,High,"vwo,automated,integrations","1. Log in to app.vwo.com
2. Navigate to Integrations
3. Perform Create action on API Key
4. Verify success message","user_role: admin, component_id: 3044",The api key should be successfully createed and reflected in the Integrations dashboard.,To Do
Test,VWO - Heatmaps: Verify user can toggle snapshot - ID_0025,This test case validates the toggle functionality for the snapshot component within the Heatmaps module of app.vwo.com.,Critical,"vwo,automated,heatmaps","1. Log in to app.vwo.com
2. Navigate to Heatmaps
3. Perform Toggle action on Snapshot
4. Verify success message","user_role: admin, component_id: 3779",The snapshot should be successfully toggleed and reflected in the Heatmaps dashboard.,To Do
Test,VWO - A/B Testing: Verify user can filter segment - ID_0026,This test case validates the filter functionality for the segment component within the A/B Testing module of app.vwo.com.,High,"vwo,automated,a/b_testing","1. Log in to app.vwo.com
2. Navigate to A/B Testing
3. Perform Filter action on Segment
4. Verify success message","user_role: admin, component_id: 6050",The segment should be successfully filtered and reflected in the A/B Testing dashboard.,To Do
Test,VWO - Funnel Analysis: Verify user can edit campaign - ID_0027,This test case validates the edit functionality for the campaign component within the Funnel Analysis module of app.vwo.com.,Critical,"vwo,automated,funnel_analysis","1. Log in to app.vwo.com
2. Navigate to Funnel Analysis
3. Perform Edit action on Campaign
4. Verify success message","user_role: admin, component_id: 1732",The campaign should be successfully edited and reflected in the Funnel Analysis dashboard.,To Do
Test,VWO - Signup: Verify user can filter user role - ID_0028,This test case validates the filter functionality for the user role component within the Signup module of app.vwo.com.,Critical,"vwo,automated,signup","1. Log in to app.vwo.com
2. Navigate to Signup
3. Perform Filter action on User Role
4. Verify success message","user_role: admin, component_id: 5515",The user role should be successfully filtered and reflected in the Signup dashboard.,To Do
Test,VWO - Funnel Analysis: Verify user can view user role - ID_0029,This test case validates the view functionality for the user role component within the Funnel Analysis module of app.vwo.com.,Medium,"vwo,automated,funnel_analysis","1. Log in to app.vwo.com
2. Navigate to Funnel Analysis
3. Perform View action on User Role
4. Verify success message","user_role: admin, component_id: 3546",The user role should be successfully viewed and reflected in the Funnel Analysis dashboard.,To Do
Test,VWO - Session Recordings: Verify user can toggle campaign - ID_0030,This test case validates the toggle functionality for the campaign component within the Session Recordings module of app.vwo.com.,Low,"vwo,automated,session_recordings","1. Log in to app.vwo.com
2. Navigate to Session Recordings
3. Perform Toggle action on Campaign
4. Verify success message","user_role: admin, component_id: 9013",The campaign should be successfully toggleed and reflected in the Session Recordings dashboard.,To Do
Test,VWO - Integrations: Verify user can export segment - ID_0031,This test case validates the export functionality for the segment component within the Integrations module of app.vwo.com.,Medium,"vwo,automated,integrations","1. Log in to app.vwo.com
2. Navigate to Integrations
3. Perform Export action on Segment
4. Verify success message","user_role: admin, component_id: 7767",The segment should be successfully exported and reflected in the Integrations dashboard.,To Do
Test,VWO - Integrations: Verify user can delete snapshot - ID_0032,This test case validates the delete functionality for the snapshot component within the Integrations module of app.vwo.com.,Critical,"vwo,automated,integrations","1. Log in to app.vwo.com
2. Navigate to Integrations
3. Perform Delete action on Snapshot
4. Verify success message","user_role: admin, component_id: 9215",The snapshot should be successfully deleteed and reflected in the Integrations dashboard.,To Do
Test,VWO - Integrations: Verify user can view user role - ID_0033,This test case validates the view functionality for the user role component within the Integrations module of app.vwo.com.,Low,"vwo,automated,integrations","1. Log in to app.vwo.com
2. Navigate to Integrations
3. Perform View action on User Role
4. Verify success message","user_role: admin, component_id: 9864",The user role should be successfully viewed and reflected in the Integrations dashboard.,To Do
Test,VWO - Heatmaps: Verify user can toggle campaign - ID_0034,This test case validates the toggle functionality for the campaign component within the Heatmaps module of app.vwo.com.,High,"vwo,automated,heatmaps","1. Log in to app.vwo.com
2. Navigate to Heatmaps
3. Perform Toggle action on Campaign
4. Verify success message","user_role: admin, component_id: 3842",The campaign should be successfully toggleed and reflected in the Heatmaps dashboard.,To Do
Test,VWO - Heatmaps: Verify user can delete goal - ID_0035,This test case validates the delete functionality for the goal component within the Heatmaps module of app.vwo.com.,Medium,"vwo,automated,heatmaps","1. Log in to app.vwo.com
2. Navigate to Heatmaps
3. Perform Delete action on Goal
4. Verify success message","user_role: admin, component_id: 2754",The goal should be successfully deleteed and reflected in the Heatmaps dashboard.,To Do
Test,VWO - Signup: Verify user can create user role - ID_0036,This test case validates the create functionality for the user role component within the Signup module of app.vwo.com.,Low,"vwo,automated,signup","1. Log in to app.vwo.com
2. Navigate to Signup
3. Perform Create action on User Role
4. Verify success message","user_role: admin, component_id: 4391",The user role should be successfully createed and reflected in the Signup dashboard.,To Do
Test,VWO - Funnel Analysis: Verify user can view api key - ID_0037,This test case validates the view functionality for the api key component within the Funnel Analysis module of app.vwo.com.,Low,"vwo,automated,funnel_analysis","1. Log in to app.vwo.com
2. Navigate to Funnel Analysis
3. Perform View action on API Key
4. Verify success message","user_role: admin, component_id: 5012",The api key should be successfully viewed and reflected in the Funnel Analysis dashboard.,To Do
Test,VWO - A/B Testing: Verify user can filter api key - ID_0038,This test case validates the filter functionality for the api key component within the A/B Testing module of app.vwo.com.,Critical,"vwo,automated,a/b_testing","1. Log in to app.vwo.com
2. Navigate to A/B Testing
3. Perform Filter action on API Key
4. Verify success message","user_role: admin, component_id: 6574",The api key should be successfully filtered and reflected in the A/B Testing dashboard.,To Do
Test,VWO - Heatmaps: Verify user can search variation - ID_0039,This test case validates the search functionality for the variation component within the Heatmaps module of app.vwo.com.,High,"vwo,automated,heatmaps","1. Log in to app.vwo.com
2. Navigate to Heatmaps
3. Perform Search action on Variation
4. Verify success message","user_role: admin, component_id: 2458",The variation should be successfully searched and reflected in the Heatmaps dashboard.,To Do
Test,VWO - Account Settings: Verify user can search snapshot - ID_0040,This test case validates the search functionality for the snapshot component within the Account Settings module of app.vwo.com.,Critical,"vwo,automated,account_settings","1. Log in to app.vwo.com
2. Navigate to Account Settings
3. Perform Search action on Snapshot
4. Verify success message","user_role: admin, component_id: 1003",The snapshot should be successfully searched and reflected in the Account Settings dashboard.,To Do
Test,VWO - Signup: Verify user can toggle campaign - ID_0041,This test case validates the toggle functionality for the campaign component within the Signup module of app.vwo.com.,Low,"vwo,automated,signup","1. Log in to app.vwo.com
2. Navigate to Signup
3. Perform Toggle action on Campaign
4. Verify success message","user_role: admin, component_id: 9802",The campaign should be successfully toggleed and reflected in the Signup dashboard.,To Do
Test,VWO - Login: Verify user can export api key - ID_0042,This test case validates the export functionality for the api key component within the Login module of app.vwo.com.,Low,"vwo,automated,login","1. Log in to app.vwo.com
2. Navigate to Login
3. Perform Export action on API Key
4. Verify success message","user_role: admin, component_id: 1965",The api key should be successfully exported and reflected in the Login dashboard.,To Do
Test,VWO - A/B Testing: Verify user can filter snapshot - ID_0043,This test case validates the filter functionality for the snapshot component within the A/B Testing module of app.vwo.com.,Critical,"vwo,automated,a/b_testing","1. Log in to app.vwo.com
2. Navigate to A/B Testing
3. Perform Filter action on Snapshot
4. Verify success message","user_role: admin, component_id: 1655",The snapshot should be successfully filtered and reflected in the A/B Testing dashboard.,To Do
Test,VWO - Integrations: Verify user can delete campaign - ID_0044,This test case validates the delete functionality for the campaign component within the Integrations module of app.vwo.com.,Low,"vwo,automated,integrations","1. Log in to app.vwo.com
2. Navigate to Integrations
3. Perform Delete action on Campaign
4. Verify success message","user_role: admin, component_id: 2338",The campaign should be successfully deleteed and reflected in the Integrations dashboard.,To Do
Test,VWO - Login: Verify user can search user role - ID_0045,This test case validates the search functionality for the user role component within the Login module of app.vwo.com.,Medium,"vwo,automated,login","1. Log in to app.vwo.com
2. Navigate to Login
3. Perform Search action on User Role
4. Verify success message","user_role: admin, component_id: 1483",The user role should be successfully searched and reflected in the Login dashboard.,To Do
Test,VWO - Signup: Verify user can edit user role - ID_0046,This test case validates the edit functionality for the user role component within the Signup module of app.vwo.com.,Critical,"vwo,automated,signup","1. Log in to app.vwo.com
2. Navigate to Signup
3. Perform Edit action on User Role
4. Verify success message","user_role: admin, component_id: 1245",The user role should be successfully edited and reflected in the Signup dashboard.,To Do
Test,VWO - Heatmaps: Verify user can search campaign - ID_0047,This test case validates the search functionality for the campaign component within the Heatmaps module of app.vwo.com.,Critical,"vwo,automated,heatmaps","1. Log in to app.vwo.com
2. Navigate to Heatmaps
3. Perform Search action on Campaign
4. Verify success message","user_role: admin, component_id: 7206",The campaign should be successfully searched and reflected in the Heatmaps dashboard.,To Do
Test,VWO - Funnel Analysis: Verify user can create variation - ID_0048,This test case validates the create functionality for the variation component within the Funnel Analysis module of app.vwo.com.,Critical,"vwo,automated,funnel_analysis","1. Log in to app.vwo.com
2. Navigate to Funnel Analysis
3. Perform Create action on Variation
4. Verify success message","user_role: admin, component_id: 9093",The variation should be successfully createed and reflected in the Funnel Analysis dashboard.,To Do
Test,VWO - Integrations: Verify user can search segment - ID_0049,This test case validates the search functionality for the segment component within the Integrations module of app.vwo.com.,Low,"vwo,automated,integrations","1. Log in to app.vwo.com
2. Navigate to Integrations
3. Perform Search action on Segment
4. Verify success message","user_role: admin, component_id: 5673",The segment should be successfully searched and reflected in the Integrations dashboard.,To Do
Test,VWO - Account Settings: Verify user can create campaign - ID_0050,This test case validates the create functionality for the campaign component within the Account Settings module of app.vwo.com.,Low,"vwo,automated,account_settings","1. Log in to app.vwo.com
2. Navigate to Account Settings
3. Perform Create action on Campaign
4. Verify success message","user_role: admin, component_id: 6277",The campaign should be successfully createed and reflected in the Account Settings dashboard.,To Do
Test,VWO - Account Settings: Verify user can delete api key - ID_0051,This test case validates the delete functionality for the api key component within the Account Settings module of app.vwo.com.,High,"vwo,automated,account_settings","1. Log in to app.vwo.com
2. Navigate to Account Settings
3. Perform Delete action on API Key
4. Verify success message","user_role: admin, component_id: 7487",The api key should be successfully deleteed and reflected in the Account Settings dashboard.,To Do
Test,VWO - A/B Testing: Verify user can filter api key - ID_0052,This test case validates the filter functionality for the api key component within the A/B Testing module of app.vwo.com.,High,"vwo,automated,a/b_testing","1. Log in to app.vwo.com
2. Navigate to A/B Testing
3. Perform Filter action on API Key
4. Verify success message","user_role: admin, component_id: 3962",The api key should be successfully filtered and reflected in the A/B Testing dashboard.,To Do
Test,VWO - Signup: Verify user can toggle dashboard widget - ID_0053,This test case validates the toggle functionality for the dashboard widget component within the Signup module of app.vwo.com.,Medium,"vwo,automated,signup","1. Log in to app.vwo.com
2. Navigate to Signup
3. Perform Toggle action on Dashboard Widget
4. Verify success message","user_role: admin, component_id: 2001",The dashboard widget should be successfully toggleed and reflected in the Signup dashboard.,To Do
Test,VWO - Signup: Verify user can delete user role - ID_0054,This test case validates the delete functionality for the user role component within the Signup module of app.vwo.com.,High,"vwo,automated,signup","1. Log in to app.vwo.com
2. Navigate to Signup
3. Perform Delete action on User Role
4. Verify success message","user_role: admin, component_id: 4299",The user role should be successfully deleteed and reflected in the Signup dashboard.,To Do
Test,VWO - Login: Verify user can view variation - ID_0055,This test case validates the view functionality for the variation component within the Login module of app.vwo.com.,Critical,"vwo,automated,login","1. Log in to app.vwo.com
2. Navigate to Login
3. Perform View action on Variation
4. Verify success message","user_role: admin, component_id: 8574",The variation should be successfully viewed and reflected in the Login dashboard.,To Do
Test,VWO - A/B Testing: Verify user can create snapshot - ID_0056,This test case validates the create functionality for the snapshot component within the A/B Testing module of app.vwo.com.,High,"vwo,automated,a/b_testing","1. Log in to app.vwo.com
2. Navigate to A/B Testing
3. Perform Create action on Snapshot
4. Verify success message","user_role: admin, component_id: 9281",The snapshot should be successfully createed and reflected in the A/B Testing dashboard.,To Do
Test,VWO - A/B Testing: Verify user can toggle segment - ID_0057,This test case validates the toggle functionality for the segment component within the A/B Testing module of app.vwo.com.,Low,"vwo,automated,a/b_testing","1. Log in to app.vwo.com
2. Navigate to A/B Testing
3. Perform Toggle action on Segment
4. Verify success message","user_role: admin, component_id: 7291",The segment should be successfully toggleed and reflected in the A/B Testing dashboard.,To Do
Test,VWO - A/B Testing: Verify user can toggle variation - ID_0058,This test case validates the toggle functionality for the variation component within the A/B Testing module of app.vwo.com.,Critical,"vwo,automated,a/b_testing","1. Log in to app.vwo.com
2. Navigate to A/B Testing
3. Perform Toggle action on Variation
4. Verify success message","user_role: admin, component_id: 2344",The variation should be successfully toggleed and reflected in the A/B Testing dashboard.,To Do
Test,VWO - Session Recordings: Verify user can delete api key - ID_0059,This test case validates the delete functionality for the api key component within the Session Recordings module of app.vwo.com.,High,"vwo,automated,session_recordings","1. Log in to app.vwo.com
2. Navigate to Session Recordings
3. Perform Delete action on API Key
4. Verify success message","user_role: admin, component_id: 3157",The api key should be successfully deleteed and reflected in the Session Recordings dashboard.,To Do
Test,VWO - Login: Verify user can delete campaign - ID_0060,This test case validates the delete functionality for the campaign component within the Login module of app.vwo.com.,High,"vwo,automated,login","1. Log in to app.vwo.com
2. Navigate to Login
3. Perform Delete action on Campaign
4. Verify success message","user_role: admin, component_id: 6438",The campaign should be successfully deleteed and reflected in the Login dashboard.,To Do
Test,VWO - Session Recordings: Verify user can create variation - ID_0061,This test case validates the create functionality for the variation component within the Session Recordings module of app.vwo.com.,Medium,"vwo,automated,session_recordings","1. Log in to app.vwo.com
2. Navigate to Session Recordings
3. Perform Create action on Variation
4. Verify success message","user_role: admin, component_id: 1203",The variation should be successfully createed and reflected in the Session Recordings dashboard.,To Do
Test,VWO - Account Settings: Verify user can filter api key - ID_0062,This test case validates the filter functionality for the api key component within the Account Settings module of app.vwo.com.,Low,"vwo,automated,account_settings","1. Log in to app.vwo.com
2. Navigate to Account Settings
3. Perform Filter action on API Key
4. Verify success message","user_role: admin, component_id: 6409",The api key should be successfully filtered and reflected in the Account Settings dashboard.,To Do
Test,VWO - Signup: Verify user can search user role - ID_0063,This test case validates the search functionality for the user role component within the Signup module of app.vwo.com.,Medium,"vwo,automated,signup","1. Log in to app.vwo.com
2. Navigate to Signup
3. Perform Search action on User Role
4. Verify success message","user_role: admin, component_id: 8624",The user role should be successfully searched and reflected in the Signup dashboard.,To Do
Test,VWO - Login: Verify user can delete dashboard widget - ID_0064,This test case validates the delete functionality for the dashboard widget component within the Login module of app.vwo.com.,Critical,"vwo,automated,login","1. Log in to app.vwo.com
2. Navigate to Login
3. Perform Delete action on Dashboard Widget
4. Verify success message","user_role: admin, component_id: 6760",The dashboard widget should be successfully deleteed and reflected in the Login dashboard.,To Do
Test,VWO - A/B Testing: Verify user can search api key - ID_0065,This test case validates the search functionality for the api key component within the A/B Testing module of app.vwo.com.,Medium,"vwo,automated,a/b_testing","1. Log in to app.vwo.com
2. Navigate to A/B Testing
3. Perform Search action on API Key
4. Verify success message","user_role: admin, component_id: 8833",The api key should be successfully searched and reflected in the A/B Testing dashboard.,To Do
Test,VWO - Heatmaps: Verify user can filter segment - ID_0066,This test case validates the filter functionality for the segment component within the Heatmaps module of app.vwo.com.,Critical,"vwo,automated,heatmaps","1. Log in to app.vwo.com
2. Navigate to Heatmaps
3. Perform Filter action on Segment
4. Verify success message","user_role: admin, component_id: 4818",The segment should be successfully filtered and reflected in the Heatmaps dashboard.,To Do
Test,VWO - Funnel Analysis: Verify user can view campaign - ID_0067,This test case validates the view functionality for the campaign component within the Funnel Analysis module of app.vwo.com.,Critical,"vwo,automated,funnel_analysis","1. Log in to app.vwo.com
2. Navigate to Funnel Analysis
3. Perform View action on Campaign
4. Verify success message","user_role: admin, component_id: 1519",The campaign should be successfully viewed and reflected in the Funnel Analysis dashboard.,To Do
Test,VWO - Account Settings: Verify user can export segment - ID_0068,This test case validates the export functionality for the segment component within the Account Settings module of app.vwo.com.,Critical,"vwo,automated,account_settings","1. Log in to app.vwo.com
2. Navigate to Account Settings
3. Perform Export action on Segment
4. Verify success message","user_role: admin, component_id: 6647",The segment should be successfully exported and reflected in the Account Settings dashboard.,To Do
Test,VWO - Integrations: Verify user can delete variation - ID_0069,This test case validates the delete functionality for the variation component within the Integrations module of app.vwo.com.,Low,"vwo,automated,integrations","1. Log in to app.vwo.com
2. Navigate to Integrations
3. Perform Delete action on Variation
4. Verify success message","user_role: admin, component_id: 5396",The variation should be successfully deleteed and reflected in the Integrations dashboard.,To Do
Test,VWO - A/B Testing: Verify user can view user role - ID_0070,This test case validates the view functionality for the user role component within the A/B Testing module of app.vwo.com.,Critical,"vwo,automated,a/b_testing","1. Log in to app.vwo.com
2. Navigate to A/B Testing
3. Perform View action on User Role
4. Verify success message","user_role: admin, component_id: 2380",The user role should be successfully viewed and reflected in the A/B Testing dashboard.,To Do
Test,VWO - Session Recordings: Verify user can create segment - ID_0071,This test case validates the create functionality for the segment component within the Session Recordings module of app.vwo.com.,Critical,"vwo,automated,session_recordings","1. Log in to app.vwo.com
2. Navigate to Session Recordings
3. Perform Create action on Segment
4. Verify success message","user_role: admin, component_id: 2588",The segment should be successfully createed and reflected in the Session Recordings dashboard.,To Do
Test,VWO - Signup: Verify user can search campaign - ID_0072,This test case validates the search functionality for the campaign component within the Signup module of app.vwo.com.,High,"vwo,automated,signup","1. Log in to app.vwo.com
2. Navigate to Signup
3. Perform Search action on Campaign
4. Verify success message","user_role: admin, component_id: 1846",The campaign should be successfully searched and reflected in the Signup dashboard.,To Do
Test,VWO - Funnel Analysis: Verify user can search goal - ID_0073,This test case validates the search functionality for the goal component within the Funnel Analysis module of app.vwo.com.,Low,"vwo,automated,funnel_analysis","1. Log in to app.vwo.com
2. Navigate to Funnel Analysis
3. Perform Search action on Goal
4. Verify success message","user_role: admin, component_id: 2084",The goal should be successfully searched and reflected in the Funnel Analysis dashboard.,To Do
Test,VWO - A/B Testing: Verify user can export goal - ID_0074,This test case validates the export functionality for the goal component within the A/B Testing module of app.vwo.com.,Low,"vwo,automated,a/b_testing","1. Log in to app.vwo.com
2. Navigate to A/B Testing
3. Perform Export action on Goal
4. Verify success message","user_role: admin, component_id: 7638",The goal should be successfully exported and reflected in the A/B Testing dashboard.,To Do
Test,VWO - A/B Testing: Verify user can delete user role - ID_0075,This test case validates the delete functionality for the user role component within the A/B Testing module of app.vwo.com.,Medium,"vwo,automated,a/b_testing","1. Log in to app.vwo.com
2. Navigate to A/B Testing
3. Perform Delete action on User Role
4. Verify success message","user_role: admin, component_id: 3117",The user role should be successfully deleteed and reflected in the A/B Testing dashboard.,To Do
Test,VWO - Account Settings: Verify user can view dashboard widget - ID_0076,This test case validates the view functionality for the dashboard widget component within the Account Settings module of app.vwo.com.,Critical,"vwo,automated,account_settings","1. Log in to app.vwo.com
2. Navigate to Account Settings
3. Perform View action on Dashboard Widget
4. Verify success message","user_role: admin, component_id: 9459",The dashboard widget should be successfully viewed and reflected in the Account Settings dashboard.,To Do
Test,VWO - Heatmaps: Verify user can search goal - ID_0077,This test case validates the search functionality for the goal component within the Heatmaps module of app.vwo.com.,High,"vwo,automated,heatmaps","1. Log in to app.vwo.com
2. Navigate to Heatmaps
3. Perform Search action on Goal
4. Verify success message","user_role: admin, component_id: 7699",The goal should be successfully searched and reflected in the Heatmaps dashboard.,To Do
Test,VWO - A/B Testing: Verify user can search goal - ID_0078,This test case validates the search functionality for the goal component within the A/B Testing module of app.vwo.com.,Critical,"vwo,automated,a/b_testing","1. Log in to app.vwo.com
2. Navigate to A/B Testing
3. Perform Search action on Goal
4. Verify success message","user_role: admin, component_id: 1070",The goal should be successfully searched and reflected in the A/B Testing dashboard.,To Do
