id,jira_id,summary,module,priority,severity,labels,preconditions,steps,expected_result,test_type,owner,sprint,status
TC-00013,VWO-2603,Verify form-submit goal counts /signup form submissions (rtl locale),Goals,P1,Minor,api|dataloss|regression|sanity|ui,Form on /signup,1. Add form-submit goal selector=#signup-form || 2. Submit form,Conversion logged,Functional,kavya.iyer,VWO-25.S52,Active
TC-00014,VWO-3854,Verify Firefox extension connects editor to live site (en-US),Editor,P2,Major,gdpr|regression,Extension installed,1. Click 'Open in extension',Editor controls injected,Functional,anika.bose,VWO-25.S16,Active
TC-00015,VWO-3324,Verify SmartCode version warning when outdated snippet detected (en-GB),SmartCode,P1,Critical,api|dataloss|integration|regression,Old snippet on site,1. Validate,"Banner 'Outdated, update snippet'",Functional,anika.bose,VWO-25.S51,Active
TC-00016,VWO-5293,Verify SmartCode version warning when outdated snippet detected (fr-FR),SmartCode,P1,Major,dataloss|e2e|edge|integration|regression,Old snippet on site,1. Validate,"Banner 'Outdated, update snippet'",Functional,riya.sharma,VWO-25.S11,Active
TC-00017,VWO-3464,Verify filtering goal report by date range last 7d (de-DE),Goals,P2,Minor,accessibility|gdpr|regression|smoke,Goal report,1. Apply Last 7 days,Numbers reflect 7d only,Functional,aditya.rao,VWO-25.S31,Active
TC-00018,VWO-4196,Verify Device=mobile condition in segment (ja-JP),Segmentation,P2,Critical,chrome|edge|mobile,Segment Draft,1. Add device=mobile || 2. Save,Saved correctly,Functional,sara.patel,VWO-25.S25,Active
TC-00019,VWO-3223,Verify Custom JS panel runs after page load (hi-IN),Editor,P1,Major,billing|e2e|i18n|regression,Editor loaded,"1. Add 'console.log(""hi"")' || 2. Save",Console prints 'hi' on preview,Functional,promode.dutta,VWO-25.S30,Active
TC-00020,VWO-2418,Verify domain claim DNS TXT record check (pt-BR),SSO,P2,Major,chrome|edge|mobile|sanity|security,SSO config open,1. Add domain || 2. Add TXT || 3. Verify,Domain marked claimed,Security,promode.dutta,VWO-25.S12,Active
TC-00021,VWO-5488,Verify confetti view filters clicks by source on '/' (Chrome),Heatmaps,P3,Major,regression|ui,Heatmap data ready,1. Open Confetti || 2. Filter source=email,Each dot color-coded by source,Functional,neha.khanna,VWO-25.S15,Active
TC-00022,VWO-4200,Verify changing user role from Viewer to Admin (Firefox),Admin,P0,Critical,api|chrome|performance|regression,User exists Viewer,1. Edit user || 2. Change role || 3. Save,Role updated; permissions reload,Functional,vikram.singh,VWO-25.S17,Active
TC-00023,VWO-3776,Verify warning banner when SmartCode missing on test URL (Safari),AB Testing,P2,Major,mobile|performance|regression,"A/B campaign Draft, SmartCode not installed",1. Click Validate URL,Banner 'SmartCode not detected' | Launch button disabled,Negative,arjun.kapoor,VWO-25.S26,Active
TC-00024,VWO-4364,Verify drop-off percentages between steps in funnel report (Edge),Funnels,P2,Minor,performance|regression|safari|sanity,Funnel ran 7d,1. Open report,Each step shows drop-off % | Sum reaches final conversion,Functional,harsh.gupta,VWO-25.S30,Active
TC-00025,VWO-4645,Verify Go SDK isFeatureEnabled p95 < 5ms (mobile-web),FullStack,P3,Major,api|firefox|gdpr|performance,10k calls,1. Measure latency,p95 < 5ms,Performance,kavya.iyer,VWO-25.S02,Active
TC-00026,VWO-4287,Verify unique conversions count distinct visitors only (tablet),Goals,P3,Major,billing|firefox|regression|safari,Same visitor triggers goal twice,1. Check unique conversions metric,Counts as 1 unique conversion,Functional,anika.bose,VWO-25.S49,Active
TC-00027,VWO-1283,Verify Ruby SDK isFeatureEnabled p95 < 5ms (slow 3G),FullStack,P0,Critical,accessibility|gdpr|performance|sanity,10k calls,1. Measure latency,p95 < 5ms,Performance,vikram.singh,VWO-25.S37,Archived
TC-00028,VWO-1813,Verify referrer-based Personalization for traffic from google.com (offline-online),Personalization,P1,Critical,regression|sanity|security|ui,Personalize Draft,1. Audience referrer contains 'google.com' || 2. Save,Google traffic targeted,Functional,aditya.rao,VWO-25.S41,Active
TC-00029,VWO-5361,Verify resume after 24h pause picks up reporting cleanly (re-entry),AB Testing,P1,Minor,regression|security,Campaign 9005 paused 24h ago,1. Open /campaigns/9005/overview || 2. Click Resume,Reporting timeline shows gap annotation | New visitors counted,Functional,promode.dutta,VWO-25.S24,Active
TC-00030,VWO-2971,Verify scroll-depth goal at 75% triggers on long article (after refresh),Goals,P1,Critical,accessibility|regression,Campaign Draft,1. Add scroll-depth goal=75 || 2. Save,Scrolling past 75% logs conversion,Functional,aditya.rao,VWO-25.S48,Active
TC-00031,VWO-4144,Verify filtering report by 'Mobile' segment (clean install),Reports,P3,Major,firefox|gdpr|mobile,Report ready,1. Apply segment Mobile,Numbers update for mobile only,Functional,anika.bose,VWO-25.S31,Active
TC-00032,VWO-2924,Verify QA whitelist forces variation in Ruby (after upgrade),FullStack,P2,Minor,accessibility|mobile|regression|safari|sanity,QA whitelist contains user 'qa-1',1. Bucket user 'qa-1',Variation = whitelist value,Functional,promode.dutta,VWO-25.S10,Active
TC-00033,VWO-3910,Verify recording playback uses < 200MB memory for 10-min session (cold start),Session Recordings,P2,Major,firefox|performance,10-min recording,1. Open Devtools memory || 2. Play to end,Memory stays below 200MB,Performance,promode.dutta,VWO-25.S48,Active
TC-00034,VWO-1922,Verify export-CSV downloads complete report data (warm cache),Reports,P2,Minor,i18n|mobile|regression,Report ready,1. Click Export > CSV,"CSV with all goals, variations, dates",Functional,dev.ranganathan,VWO-25.S52,Active
TC-00035,VWO-1477,Verify Winner per Section view in MVT report (cookieless),MVT,P2,Major,accessibility|regression,MVT 3942 report ready,1. Open /campaigns/3942/report?view=section,Each section shows winning variant,Functional,harsh.gupta,VWO-25.S37,Active
TC-00036,VWO-1281,Verify sharing segment across team members (third-party blocked),Segmentation,P3,Critical,performance|regression,Segment exists,1. Click Share || 2. Toggle Share=on,Other members see segment,Functional,kavya.iyer,VWO-25.S19,Draft
TC-00037,VWO-2108,Verify reordering goals via drag in goals list (strict CSP),Goals,P2,Trivial,e2e|i18n|security|ui,Campaign with 5 goals,1. Drag goal #5 to #1 || 2. Save,Order persisted,Functional,riya.sharma,VWO-25.S33,Active
TC-00038,VWO-1361,Verify A/B test creation with 5 variations on Firefox (IE-removed),AB Testing,P2,Major,regression,User logged in to app.vwo.com | SmartCode installed on test site,1. Navigate to /campaigns/ab/new || 2. Enter campaign name 'AB Test {0}' || 3. Add 5 variations || 4. Set traffic split to equal || 5. Click 'Save & Launch',A/B test created with 5 variations | Redirect to /campaigns/{id}/overview,Functional,ishaan.mehta,VWO-25.S26,Active
TC-00039,VWO-5898,Verify QA Mode forces variation via cookie _vwo_qa for Chrome (role: Viewer),AB Testing,P1,Trivial,regression|ui,Chrome has VWO QA cookie set,1. Open test URL || 2. Reload 5 times,Same variation shown each reload | QA banner visible,Functional,neha.khanna,VWO-25.S11,Active
TC-00040,VWO-1968,Verify goals list shows all goals for campaign #5819 (role: Admin),Goals,P2,Major,api|e2e|edge|ui,Campaign 5819 has 5 goals,1. Open /campaigns/5819/goals,All 5 goals listed | Type icons visible,UI,promode.dutta,VWO-25.S44,Active
TC-00041,VWO-2547,Verify pause and resume on session recording (role: Editor),Session Recordings,P1,Blocker,dataloss|regression,Recording playing,1. Click Pause || 2. Click Play,Playback pauses then resumes from same frame,Functional,ishaan.mehta,VWO-25.S29,Active
TC-00042,VWO-4498,Verify duplicating Personalization carries audience and changes (EU DC),Personalization,P2,Trivial,regression,Personalization exists,1. Duplicate,Copy has same audience + changes,Functional,neha.khanna,VWO-25.S29,Active
TC-00043,VWO-4001,Verify API token auth via Bearer header on /api/v1/me (US DC),API,P2,Minor,api|regression|sanity,API token issued,1. GET /api/v1/me with Bearer token,200 OK with user info,API,vikram.singh,VWO-25.S16,Draft
TC-00044,VWO-4579,Verify MVT campaign creation with 2 sections (Asia DC),MVT,P1,Critical,regression|security|smoke,User logged in,1. Navigate /campaigns/mvt/new || 2. Add 2 sections with 2 variants each || 3. Save & Launch,MVT live with 4 combinations | Status = Running,Functional,ishaan.mehta,VWO-25.S07,Active
TC-00045,VWO-2264,Verify scheduling weekly email digest of report (smoke),Reports,P1,Major,accessibility|billing|regression,Report ready,1. Click Schedule Email || 2. Pick weekly,"Email scheduled, first run logged",Functional,ishaan.mehta,VWO-25.S40,Active
TC-00046,VWO-5490,Verify traffic split must total 100% across variations (regression),AB Testing,P1,Major,edge|regression|sanity|smoke,User in /campaigns/ab/new editor,1. Set Variation A=40% || 2. Set Variation B=40% || 3. Click Save,Validation error 'Splits must equal 100%' | Save blocked,Negative,riya.sharma,VWO-25.S43,Active
TC-00047,VWO-5202,Verify selector falls back to nth-of-type when id missing (p0),Editor,P2,Major,chrome|regression|ui,Element has no id,1. Pick element,Selector uses nth-of-type,Functional,harsh.gupta,VWO-25.S35,Archived
TC-00048,VWO-4279,Verify field mapping UI for Salesforce (p1),Integrations,P3,Minor,integration|regression|safari|security,Salesforce connected,1. Open mappings || 2. Map vwo_variation -> custom_dim_5 || 3. Save,Mapping saved and applied,Functional,harsh.gupta,VWO-25.S09,Active
TC-00049,VWO-2344,Verify playing a session recording renders DOM events (critical-path),Session Recordings,P1,Major,dataloss|regression|smoke,At least one recording exists,1. Open recording || 2. Click Play,DOM replays correctly | Mouse trail rendered,Functional,sara.patel,VWO-25.S33,Active
TC-00050,VWO-5078,Verify detaching form-submit goal from campaign keeps goal alive (edge case),Goals,P2,Critical,regression|sanity|smoke,Goal attached,1. Open goal || 2. Detach,Goal still exists; campaign unlinked,Functional,sara.patel,VWO-25.S49,Active
TC-00051,VWO-5472,Verify pausing running A/B test stops new visitor bucketing (boundary),AB Testing,P3,Major,chrome|regression|safari,Campaign 5859 status = Running,1. Open /campaigns/5859/overview || 2. Click 'Pause' || 3. Confirm modal,Status = Paused | No new visitors recorded after pause timestamp,Functional,harsh.gupta,VWO-25.S22,Draft
TC-00052,VWO-3041,Verify integration event history visible for Intercom (negative),Integrations,P2,Major,mobile|regression,Intercom sent 100+ events,1. Open History tab,List shows timestamps + status,Functional,anika.bose,VWO-25.S19,Archived
TC-00053,VWO-1877,Verify message when target site blocks iframe (X-Frame-Options) (positive),Editor,P1,Blocker,accessibility|dataloss|regression,Site sets DENY,1. Open editor on it,Helpful message + extension fallback link,Negative,ishaan.mehta,VWO-25.S52,Draft
TC-00054,VWO-4513,Verify WYSIWYG drag-resize on hero image variation (retry),AB Testing,P3,Trivial,dataloss|mobile|ui,Editor in WYSIWYG mode,1. Select hero image || 2. Drag to 80% width || 3. Save,Image saves at 80% width | CSS rule emitted,UI,arjun.kapoor,VWO-25.S38,Active
TC-00055,VWO-3678,Verify saving funnel as template for reuse (low-bandwidth),Funnels,P2,Major,firefox|mobile|regression,Funnel exists,1. Click Save as Template || 2. Name 'SaaS Checkout',Template available in /funnels/templates,Functional,ishaan.mehta,VWO-25.S28,Active
TC-00056,VWO-2705,Verify winner banner appears when probability >= 95% (high-load),Reports,P2,Minor,accessibility|gdpr|regression|security,Variation B P=96%,1. Open report,Banner 'Variation B is the winner',Functional,aditya.rao,VWO-25.S06,Active
TC-00057,VWO-2043,Verify Declare Winner promotes Variation B traffic to 100% (rtl locale),AB Testing,P3,Minor,billing|regression|security,Campaign 9278 has confidence > 95%,1. Open /campaigns/9278/report || 2. Click Declare Winner > Variation B,Variation B traffic = 100% | Banner: 'Winner declared',Functional,dev.ranganathan,VWO-25.S35,Draft
TC-00058,VWO-5130,Verify forgot-password email link resets password (en-US),Auth,P2,Major,api|integration|safari|sanity|security,User exists,1. Submit forgot form || 2. Open email link || 3. Set new pass,New pass works | Old pass rejected,Functional,kavya.iyer,VWO-25.S39,Active
TC-00059,VWO-4480,Verify scheduled Personalization activates at start time (en-GB),Personalization,P3,Blocker,accessibility|i18n|integration|regression,Personalize Draft,1. Set Start = +30m || 2. Save & Schedule,"Status Scheduled, then Running at start",Functional,harsh.gupta,VWO-25.S47,Draft
TC-00060,VWO-4412,Verify scroll-depth goal at 75% triggers on long article (fr-FR),Goals,P2,Minor,accessibility|regression,Campaign Draft,1. Add scroll-depth goal=75 || 2. Save,Scrolling past 75% logs conversion,Functional,sara.patel,VWO-25.S03,Active
TC-00061,VWO-3645,Verify reordering goals via drag in goals list (de-DE),Goals,P2,Major,accessibility|edge|i18n|smoke|ui,Campaign with 5 goals,1. Drag goal #5 to #1 || 2. Save,Order persisted,Functional,harsh.gupta,VWO-25.S23,Draft
TC-00062,VWO-1847,Verify GDPR right-to-be-forgotten removes user PII (ja-JP),Admin,P1,Blocker,api|gdpr,User exists,1. Submit deletion request || 2. Confirm,PII redacted; analytics anonymized,Security,anika.bose,VWO-25.S46,Active
TC-00063,VWO-4030,Verify forgot-password email link resets password (hi-IN),Auth,P2,Trivial,regression|security|ui,User exists,1. Submit forgot form || 2. Open email link || 3. Set new pass,New pass works | Old pass rejected,Functional,ishaan.mehta,VWO-25.S39,Active
TC-00064,VWO-3352,Verify submit rate metric in Forms summary (pt-BR),Forms,P1,Minor,dataloss|regression,Forms data ready,1. Open summary,Submit rate displayed,Functional,harsh.gupta,VWO-25.S38,Active
TC-00065,VWO-5384,Verify SDK does not crash app when API returns 500 on iOS (Chrome),Mobile,P2,Minor,firefox|gdpr|i18n|mobile|sanity,API returns 500,1. Open app,App stable; SDK logs error,Negative,neha.khanna,VWO-25.S33,Active
TC-00066,VWO-4824,Verify element selector picks H1 with stable CSS path (Firefox),Editor,P2,Trivial,integration|regression,Editor loaded,1. Click H1,Selector shown e.g. main > h1,Functional,neha.khanna,VWO-25.S01,Active
TC-00067,VWO-1306,Verify editing element in MVT section saves to that variant only (Safari),MVT,P2,Major,edge|regression|security,MVT editor open,1. Switch to Section A Variant 2 || 2. Change button color || 3. Save,Only A2 has the new color | Other variants untouched,Functional,harsh.gupta,VWO-25.S28,Active
TC-00068,VWO-1143,Verify Python SDK debug logs include rule evaluation steps (Edge),FullStack,P1,Major,performance|regression|security,Debug log on,1. Bucket user,Logs show conditions evaluated,Functional,riya.sharma,VWO-25.S29,Active
TC-00069,VWO-3249,Verify custom CSS injection scope is limited to variation (mobile-web),AB Testing,P3,Critical,regression|safari|sanity,A/B test editor open,1. Add CSS '.hero{background:red}' || 2. Save || 3. Open Variation B preview,Variation A: red hero | Variation B: unchanged,Functional,sara.patel,VWO-25.S08,Active
TC-00070,VWO-3424,Verify mousemove map on '/signup' (tablet),Heatmaps,P2,Minor,gdpr|regression,Heatmap data ready,1. Open Movemap,Heat overlay reflects mouse density,Functional,promode.dutta,VWO-25.S18,Active
TC-00071,VWO-4171,Verify nested audience condition (AND/OR) on Personalization (slow 3G),Personalization,P1,Minor,gdpr|integration|regression|safari,Personalize Draft,1. Add 'Country=US AND Plan=Pro' rule || 2. Save,Combined rule saved | Only US Pro users targeted,Functional,kavya.iyer,VWO-25.S49,Active
TC-00072,VWO-5413,Verify UTM-source-based Personalization for 'newsletter' (re-entry),Personalization,P2,Major,accessibility|edge|regression|safari|smoke,Personalize Draft,1. Audience utm_source=newsletter || 2. Save,Visitors with that UTM see variant,Functional,ishaan.mehta,VWO-25.S24,Active
TC-00073,VWO-5955,Verify VWO iOS SDK initialises with API key (re-entry),Mobile,P2,Minor,dataloss|mobile,iOS app integrated SDK,1. Launch app on iOS || 2. Init SDK,SDK ready callback fires | No init errors,Functional,arjun.kapoor,VWO-25.S02,Active
TC-00074,VWO-4435,Verify changing font family on heading saves correct CSS (after refresh),Editor,P2,Minor,regression|safari,Editor loaded,"1. Pick H2, change font || 2. Save",CSS rule emitted,Functional,sara.patel,VWO-25.S43,Active
TC-00075,VWO-3489,Verify empty state when campaign has 0 visitors (clean install),Reports,P2,Blocker,accessibility|integration|mobile|sanity|ui,Newly launched campaign,1. Open report,Empty state with 'Awaiting data' message,UI,vikram.singh,VWO-25.S44,Active
TC-00076,VWO-1169,Verify sync mode warning shown for high-flicker risk (after upgrade),SmartCode,P3,Trivial,accessibility|ui,Sync mode chosen,1. Open SmartCode,Warning displayed,UI,anika.bose,VWO-25.S45,Active
TC-00077,VWO-3097,Verify PUT /api/v1/campaigns/{id} updates name (cold start),API,P2,Minor,api,Campaign exists,1. PUT with new name,200 OK; name updated,API,dev.ranganathan,VWO-25.S51,Draft
TC-00078,VWO-3363,Verify 2FA challenge after login when TOTP enabled (warm cache),Auth,P3,Major,e2e|security|ui,TOTP enabled,1. Login || 2. Enter TOTP,Login succeeds,Security,kavya.iyer,VWO-25.S30,Active
TC-00079,VWO-4588,Verify Split URL save blocked when control URL empty (cookieless),Split URL,P2,Critical,regression|ui,User on /campaigns/split/new,1. Leave control URL blank || 2. Add variant || 3. Save,Inline error 'Control URL required' | Save blocked,Negative,anika.bose,VWO-25.S45,Active
TC-00080,VWO-3922,Verify empty scroll-depth goal name shows inline error (third-party blocked),Goals,P3,Major,api|integration|regression|ui,Add Goal modal open,1. Skip name || 2. Save,Error 'Name required',Negative,neha.khanna,VWO-25.S15,Active
TC-00081,VWO-3768,Verify empty state when campaign has 0 visitors (strict CSP),Reports,P2,Critical,safari|ui,Newly launched campaign,1. Open report,Empty state with 'Awaiting data' message,UI,ishaan.mehta,VWO-25.S37,Active
TC-00082,VWO-3317,Verify duplicate of A/B campaign copies variations and goals (IE-removed),AB Testing,P1,Minor,accessibility|api|regression|safari,Campaign 8159 exists with 3 variations and 2 goals,1. Open /campaigns/8159 || 2. Click overflow > Duplicate || 3. Enter new name,New campaign created with 3 variations + 2 goals | Status = Draft,Functional,harsh.gupta,VWO-25.S08,Draft
TC-00083,VWO-1760,Verify adding tag 'checkout-friction' to a recording (role: Viewer),Session Recordings,P2,Major,api|edge|mobile|regression|safari,Recording open,1. Add tag || 2. Save,Tag visible in list filter dropdown,Functional,ishaan.mehta,VWO-25.S25,Active
TC-00084,VWO-5711,Verify domain claim DNS TXT record check (role: Admin),SSO,P0,Minor,api|billing|e2e|firefox|security,SSO config open,1. Add domain || 2. Add TXT || 3. Verify,Domain marked claimed,Security,neha.khanna,VWO-25.S15,Active
TC-00085,VWO-3581,Verify sharing segment across team members (role: Editor),Segmentation,P2,Major,accessibility|firefox|integration|performance|regression,Segment exists,1. Click Share || 2. Toggle Share=on,Other members see segment,Functional,riya.sharma,VWO-25.S18,Archived
TC-00086,VWO-5258,Verify Device tab on report breaks down by device (EU DC),Reports,P1,Minor,regression|security|smoke,Report ready,1. Open Device tab,Mobile/desktop/tablet stats shown,Functional,harsh.gupta,VWO-25.S52,Active
TC-00087,VWO-3459,Verify URL-based funnel step matches with regex (US DC),Funnels,P2,Trivial,edge|i18n|integration|regression|safari,Funnel new,1. Add step regex '/checkout/.*' || 2. Save,Regex saved | Matches multiple URLs,Functional,arjun.kapoor,VWO-25.S02,Active
TC-00088,VWO-3345,Verify stopping Heatmap recording flips status to Stopped (Asia DC),Heatmaps,P1,Minor,api|regression|safari|smoke|ui,Heatmap Active,1. Click Stop,Status = Stopped | No new clicks recorded,Functional,ishaan.mehta,VWO-25.S45,Active
TC-00089,VWO-5577,Verify login API rate-limit returns 429 after burst (smoke),Auth,P3,Major,api|firefox|integration|performance|security,No throttle yet,1. Send 100 login req in 10s,429 Too Many Requests,Security,dev.ranganathan,VWO-25.S09,Active
TC-00090,VWO-4538,Verify renaming form-submit goal updates references (regression),Goals,P2,Major,accessibility|i18n|regression,Goal in 2 campaigns,1. Rename goal || 2. Save,Both campaigns show new name,Functional,riya.sharma,VWO-25.S44,Draft
TC-00091,VWO-4162,Verify goals list shows all goals for campaign #1922 (p0),Goals,P1,Major,api|gdpr|i18n|ui,Campaign 1922 has 5 goals,1. Open /campaigns/1922/goals,All 5 goals listed | Type icons visible,UI,riya.sharma,VWO-25.S33,Draft
TC-00092,VWO-1318,Verify editing scroll-depth goal name updates campaign report (p1),Goals,P1,Major,accessibility|chrome|e2e|regression|sanity,Campaign 5014 has goal,1. Open goal || 2. Rename || 3. Save,Name updated everywhere,Functional,dev.ranganathan,VWO-25.S12,Active
TC-00093,VWO-3956,Verify comparing two segments on the same funnel (critical-path),Funnels,P0,Critical,integration|regression,Funnel report ready,1. Add segment Desktop alongside Mobile,Side-by-side comparison view,Functional,anika.bose,VWO-25.S43,Active
TC-00094,VWO-3297,Verify QA Mode forces variation via cookie _vwo_qa for Opera (edge case),AB Testing,P1,Minor,accessibility|dataloss|integration|regression,Opera has VWO QA cookie set,1. Open test URL || 2. Reload 5 times,Same variation shown each reload | QA banner visible,Functional,kavya.iyer,VWO-25.S12,Draft
TC-00095,VWO-2760,Verify attaching existing click goal to new campaign (boundary),Goals,P2,Minor,regression|security,Goal exists,1. Open new campaign goals || 2. Pick existing || 3. Save,Goal linked to both campaigns,Functional,ishaan.mehta,VWO-25.S43,Active
TC-00096,VWO-3828,Verify input fields with class 'sensitive' are masked in recording (negative),Session Recordings,P2,Critical,api|security,SmartCode mask config set,"1. Visit site, type into .sensitive input || 2. Open recording",Field shows asterisks | Plain text not stored,Security,vikram.singh,VWO-25.S08,Active
TC-00097,VWO-4734,Verify funnel report exports to CSV (positive),Funnels,P1,Major,dataloss|regression,Funnel report ready,1. Click Export CSV,CSV downloaded with per-step counts,Functional,promode.dutta,VWO-25.S06,Draft
TC-00098,VWO-5815,Verify engagement goal report shows per-variation breakdown (retry),Goals,P1,Trivial,dataloss|regression,Goal hit by 1k visitors,1. Open report,Per-variation conversion shown,Functional,ishaan.mehta,VWO-25.S20,Active
TC-00099,VWO-2579,Verify duplicating Heatmap copies URL and segment filters (low-bandwidth),Heatmaps,P2,Critical,billing|dataloss|performance|regression,Heatmap exists,1. Click Duplicate,Copy retains URL & filters,Functional,vikram.singh,VWO-25.S34,Active
TC-00100,VWO-4776,Verify scrollmap rendering for '/landing/black-friday' (high-load),Heatmaps,P2,Blocker,api|billing|ui,Heatmap recorded 1k+ sessions,1. Open Heatmap || 2. Switch to Scrollmap,Color gradient overlays page | Avg fold depth shown,UI,arjun.kapoor,VWO-25.S20,Active

TC-00123,VWO-3163,Verify Browser tab on report breaks down by browser (cookieless),Reports,P1,Minor,dataloss|performance|regression|security|ui,Report ready,1. Open Browser tab,Per-browser stats shown,Functional,sara.patel,VWO-25.S13,Active
TC-00124,VWO-5108,Verify editing variation copy in A/B campaign #3167 (third-party blocked),AB Testing,P2,Critical,gdpr|mobile|regression|safari,A/B campaign 3167 exists in Draft | User has Editor role,1. Open /campaigns/ab/3167/editor || 2. Switch to Variation 2 || 3. Change H1 text to 'Buy Now' || 4. Click Save,Variation 2 saves with updated copy | Audit log entry created,Functional,sara.patel,VWO-25.S34,Active
TC-00125,VWO-3787,Verify Heatmap auto-segments by tablet device on '/blog' (strict CSP),Heatmaps,P0,Major,chrome|edge|i18n|regression,Heatmap data ready,1. Switch device tab to Tablet,Tablet-specific overlay shown,Functional,riya.sharma,VWO-25.S18,Active
TC-00126,VWO-3268,Verify audience targeting on MVT applies before bucketing (IE-removed),MVT,P0,Blocker,firefox|integration|regression,Audience 'Logged-in users' exists,1. Apply audience || 2. Launch,Only logged-in visitors enter MVT,Functional,harsh.gupta,VWO-25.S21,Active
TC-00127,VWO-2590,Verify adding annotation to report timeline (role: Viewer),Reports,P2,Major,billing|firefox|regression|ui,Report timeline view,"1. Click on date, add note 'BFCM start'","Annotation persists, visible to team",Functional,aditya.rao,VWO-25.S24,Active
TC-00128,VWO-1339,Verify page-visit goal regex '/thank-you.*' matches (role: Admin),Goals,P2,Minor,chrome|mobile|performance|regression,Campaign Draft,1. Add page-visit goal regex || 2. Save,/thank-you?ref=x triggers conversion,Functional,dev.ranganathan,VWO-25.S34,Active
TC-00129,VWO-1987,Verify goals list shows all goals for campaign #2429 (role: Editor),Goals,P1,Minor,e2e|performance|ui,Campaign 2429 has 5 goals,1. Open /campaigns/2429/goals,All 5 goals listed | Type icons visible,UI,dev.ranganathan,VWO-25.S42,Active
TC-00130,VWO-1147,Verify isFeatureEnabled returns rollout result in Node.js (EU DC),FullStack,P3,Major,api|billing|regression,Flag at 50%,1. Call API for 1000 users,~500 true ±5%,Functional,aditya.rao,VWO-25.S49,Active
TC-00131,VWO-4008,Verify custom CSS injection scope is limited to variation (US DC),AB Testing,P1,Major,regression|security,A/B test editor open,1. Add CSS '.hero{background:red}' || 2. Save || 3. Open Variation B preview,Variation A: red hero | Variation B: unchanged,Functional,kavya.iyer,VWO-25.S33,Active
TC-00132,VWO-3528,Verify click goal CSS selector '#cta-buy' captures clicks (Asia DC),Goals,P0,Major,billing|dataloss|integration|regression|sanity,Campaign Draft,1. Add click goal selector=#cta-buy || 2. Save || 3. Trigger click,Click counted as conversion,Functional,harsh.gupta,VWO-25.S13,Active
